TC-001.01,https://getfedora.org/,Fedora
TC-001.02,https://getfedora.org/,Fedor
TC-001.03,https://2ip.ru/,Узнать IP адрес
TC-001.04,https://2ip.ru/,Узнать IP
TC-001.05,http://plati.ru/index.asp,Plati
TC-001.06,http://plati.ru/index.asp,Plati!!!
TC-001.07,https://telepay.wmtransfer.com,Telepay
TC-001.08,https://telepay.wmtransfer.com,Telepayii
TC-001.09,http://filmsonline.com.ua/,Фильмы онлайн бесплатно в хорошем качестве без регистрации и смс - FilmsOnline.com.ua
TC-001.10,http://filmsonline.com.ua/,Фильмы онлайн
TC-001.11,http://ymka.tv/,Фильмы онлайн | Умка ТВ
TC-001.12,http://ymka.tv/,Фильмы онлайн
